IPAddress,Duration (in seconds),RecordedDate,ResponseId,LocationLatitude,LocationLongitude,UserLanguage,Consent,wolf,read timer_First Click,read timer_Last Click,read timer_Page Submit,read timer_Click Count,exp timer_First Click,exp timer_Last Click,exp timer_Page Submit,exp timer_Click Count,allocate1,allocate2,allocate3,timer token First Click,timer token Last Click,timer token Page Submit,timer token Click Count,why,timer why First Click,timerwhyLast Click,timerwhyPage Submit,timer whyClick Count,mancheck1,norms,norms timer_First Click,norms timer_Last Click,norms timer_Page Submit,norms timer_Click Count,EE1,belief timer First Click,belief timer Last Click,belief timer Page Submit,belief timer Click Count,RiskBattery_1,IE-4 LOC_1,IE-4 LOC_2,IE-4 LOC_3,IE-4 LOC_4,IE-4 LOC_5,DUREL 1_1,DUREL 2,durel 3_1,durel 3_2,durel 3_3,heart,Age_1,politics_1,religaffil,other,UID,arm
46.203.160.175,475,8/24/26 11:00,R_1GO0ks2B1ign1lo,39.0469,-77.4903,EN,67d5d7068c0132f8de37783d,Lion,2.968,6.832,7.982,2,2.515,16.883,17.76,3,75,15,10,2.537,65.193,65.967,5,I believe the universe has a purposeful source Science explains how it developed but does not rule out a higher power I left some tokens elsewhere because I cannot be completely certain,5.54,42.492,53.602,2,1,2,1.185,21.177,22.446,3,35,5.043,21.771,22.938,4,55,2,4,5,5,2,4,5,1,2,2,1,55,30,2,Roman Catholic,R_1GO0ks2B1ign1lo,0
208.79.163.157,444,8/24/26 11:03,R_1hVTjcp0p1xJGVv,33.1965,-80.024,EN,66003d4027f04e51b0dc377f,lion,4.346,132.497,133.176,2,0,0,7.687,0,70,20,10,2.81,26.435,33.355,6,I just went with my best hunch and intuition mostly because my religious beliefs were pivotal in the conclusion I chose,1.611,25.319,46.471,5,4,2,3.847,10.892,14.501,5,65,5.385,8.341,10.021,3,55,3,3,4,5,1,9,2,3,2,3,1,27,50,1,Presbyterian (PCA),R_1hVTjcp0p1xJGVv,0
172.58.180.63,309,8/24/26 10:57,R_3RXFlZ8jV3g3cxH,32.8687,-96.8626,EN,6640be7edc706d4622dbab1c,lion,0,0,39.108,0,0,0,7.83,0,45,25,30,3.628,18.63,28.345,4,I felt that the universe is likely connected or working together since events and organisms seem to be all connected to each other and influencing one another I also feel that there is a chance that the universe is unpredictable or that the information is not known enough to make a conclusion since the universe is so complex and grand and I also must consider that I have only seen such a small part of the entire universe,0.806,0.806,79.743,1,5,4,2.835,6.131,7.54,3,54,1.399,3.913,4.945,3,71,2,4,4,5,4,0,1,2,5,5,1,25,88,11,agnostic,R_3RXFlZ8jV3g3cxH,0
35.147.205.128,307,8/24/26 10:57,R_3AHgLpGzalCFBRV,39.249,-94.4232,EN,6a0206ae4926b3707e0947b5,lion,0,0,29.174,0,0,0,12.803,0,40,40,20,10.733,15.493,20.94,3,The universe started some how some way Whether it was the big bang or not Im not sure I have read data and learned the history but do I believe it I dont know Once you really thing about the beginning of the universe it had to start some way some how Its crazy to think and makes you go down a rabbit hole and makes my anxiety go up,1.362,1.362,100.498,1,4,3,4.455,10.315,10.924,2,80,7.33,7.33,8.061,1,50,1,3,5,5,4,0,1,3,5,5,1,38,40,12,I do not have a religion I follow.,R_3AHgLpGzalCFBRV,0
68.3.248.173,494,8/24/26 11:00,R_1pmQBMu076lP9vV,33.4935,-111.9211,EN,6813e67f495e6e5b4d1593a1,lion,0,0,28.766,0,0,0,36.248,0,33,33,34,7.576,88.823,91.641,9,I feel like it could be physics it could be a higher power and also that power made the physics happen or unknown so I felt a third for each made sense,2.483,44.289,46.121,2,4,3,5.513,10.38,11.916,2,20,10.407,10.407,11.757,1,50,2,2,3,5,2,0,1,3,4,4,1,54,40,11,Agnostic,R_1pmQBMu076lP9vV,0
38.162.181.26,373,8/24/26 10:58,R_6jbpT0oOhJgtfb3,41.9795,-76.508,EN,61074ae762b0186a302f1028,lion,21.936,21.936,53.205,1,12.318,12.649,14.004,2,30,40,30,5.406,19.409,43.497,3,i believe in science to explain the natural world and universe i think the answer is so difficult to comprehend that science cant get there yet the universe and its laws are just so perfect its hard for me to discount intelligent design,1.982,7.45,58.933,3,2,5,8.375,19.829,21.457,2,40,10.152,10.152,14.57,1,31,1,4,4,5,1,4,4,3,2,2,1,42,45,2,Roman Catholic,R_6jbpT0oOhJgtfb3,0
66.65.0.241,303,8/24/26 10:58,R_1AszaCD8PfOOn7z,40.7258,-73.862,EN,6a07263ddf6e8aae1e57b02d,lion,4.46,4.46,7.081,1,0,0,2.304,0,30,50,20,17.953,41.107,43.101,7,I allocated the tokens based on my understanding of the concept and beliefs,4.655,4.655,37.673,1,5,3,4.593,17.432,18.877,4,30,13.655,13.655,14.623,1,79,5,5,5,5,5,4,2,1,1,1,1,19,50,2,Christianity,R_1AszaCD8PfOOn7z,0
24.61.229.181,482,8/24/26 11:00,R_61Z61BMQgJIleHG,42.2095,-70.9332,EN,69e81608e6b55ad5d7505ff8,Lion,48.024,48.024,65.276,1,0,0,14.281,0,30,40,30,13.479,21.728,26.808,3,While we truly dont know how or why exactly our universe came to be and science points us to the most logical of answers I would like to think there was some greater power or intention to why we are all here existing,1.907,1.907,64.117,1,4,3,6.01,20.255,21.465,4,71,5.906,5.906,6.893,1,20,3,4,3,5,4,1,1,3,4,2,1,47,46,1,More spiritual,R_61Z61BMQgJIleHG,0
46.203.145.255,526,8/24/26 11:01,R_70D9JB7b95aDZky,44.1056,-72.4326,EN,6a0d007b098fb1b9a7ec055e,Lion,0,0,134.887,0,0,0,28.191,0,25,50,25,23.697,37.796,42.685,4,I distributed the tokens giving into consideration how each has their own beliefs about the formation,11.077,11.077,89.651,1,4,3,4.859,11.691,13.378,2,60,15.892,19.017,22.826,2,91,4,5,4,5,3,28,5,1,1,2,1,48,89,2,Christianity,R_70D9JB7b95aDZky,0
73.212.35.71,218,8/24/26 10:56,R_5UVoMg2TDgeV5Vi,38.9208,-77.036,EN,69fff128b90dd09ce3001d97,lion,3.7,9.43,13.3,10,0,0,23.377,0,10,40,50,1.674,11.934,12.442,6,I lean towards no with a tremendous amount of uncertainty I also think concepts like higher power are so challenging for the mind to really understand that unknowable is probably the most likely answer But no higher power makes more sense to me than there being a higher power,4.206,59.875,61.056,3,2,4,2.773,10.497,13.301,4,25,7.132,7.132,9.2,1,79,3,4,4,5,2,0,1,5,5,5,1,39,53,11,Nothing in particular ,R_5UVoMg2TDgeV5Vi,0
108.244.23.75,267,8/24/26 10:56,R_52R745ScsQ2UI6n,27.6776,-97.3651,EN,6a0d1f29937a492e8dcafcf4,lion,0,0,24.139,0,0,0,18.545,0,10,60,30,7.262,14.675,18.194,3,I think that science plays a big part in how the world was formed but we cant possibly know all the details due to it being so long ago and none of us were here for it,4.908,4.908,40.772,1,1,3,13.312,23.829,24.914,4,59,7.264,13.345,14.568,5,61,4,3,4,5,3,4,4,3,3,3,1,46,20,2,Roman Catholic,R_52R745ScsQ2UI6n,0
104.14.82.147,504,8/24/26 11:00,R_3j8R9PW8AtUeDPw,39.2371,-119.593,EN,699f315b167873d2278c2af2,lion,0,0,49.721,0,0,0,16.738,0,10,40,50,27.014,41.811,46.068,3,While science is the guiding principle there are too many unknowns to say anything with absolute certainty Many scientific areas use the term theory and thats worth considering I lean towards a beautifully unstructured universe but keep an open mind,5.28,137.009,139.034,4,2,4,11.926,31.176,32.616,2,50,21.967,21.967,23.335,1,20,2,5,5,5,3,0,1,4,5,5,1,62,85,11,"Non-existent, although I grew up and spent most of my adult life as Christian.",R_3j8R9PW8AtUeDPw,0
23.123.137.40,558,8/24/26 11:01,R_6CWbzcd7ShqII80,37.6811,-122.4806,EN,65bd6e6d58e4443614dae27b,lion,0,0,77.982,0,0,0,8,0,10,50,40,24.452,31.661,52.139,3,I am more certain about Undirected origin and Unknowable because I believe everything moves differently I think everything can be random but things are still very much unknown,1.21,1.21,169.577,1,3,3,2.739,38.539,39.709,2,40,39.683,39.683,40.575,1,50,1,3,4,5,3,0,1,5,5,5,1,27,100,2,Catholic,R_6CWbzcd7ShqII80,0
153.66.103.196,258,8/24/26 10:56,R_31uIVQsMv66Ws2B,36.1671,-86.7861,EN,64139cc91290ff46b6c16dd1,lion,0,0,27.098,0,0,0,8.98,0,5,35,60,2.941,3.073,12.227,2,The absolute best case scenario is that we as a species will ever be able to make is an untestable hypothesis about the origin of our universe At most a segment of scientists and people will agree that it is the most likely scenario and base all following observations upon it,1.874,1.874,74.386,1,1,5,4.097,10.925,11.555,2,39,7.826,7.826,8.633,1,10,4,2,3,5,1,0,1,5,4,5,1,35,55,11,Agnostic or None,R_31uIVQsMv66Ws2B,0
173.217.69.126,638,8/24/26 11:03,R_5SIhKDUxzDqsrOo,30.2159,-93.3585,EN,6a23ea8702510fb184aa0aa0,lion,0,0,64.824,0,0,0,20.752,0,5,25,70,23.774,52.829,53.451,4,The token was distributed based on participant knowledge the text of the origin of the universe Participant do not believe humans have any accurate answers of the origin of the universe because of the complexity of the universe Human potential or access to the universe based on modern technology to actual produce a true accurate response,1.782,199.159,206.562,36,3,3,7.201,20.1,23.491,3,50,11.369,15.849,16.963,5,50,1,5,3,5,1,19,5,1,2,2,1,42,50,2,"Follower of the Creator, Guardians of Mother Earth. In participant situation he refer to the Creator as Jesus & holy Spirit, & Mother Earth as the Guardian of the Nature. ",R_5SIhKDUxzDqsrOo,0
161.77.113.91,895,8/24/26 11:07,R_3EuB6FBvYrINqPX,42.0986,-72.5931,EN,68588c0e318290286d99fbac,Lion,25.451,25.451,58.024,1,0,0,15.31,0,5,25,70,26.91,39.211,46.769,3,Because the current cosmology gives strong evidence about the universe early evolution but doesnt establish if a purposeful higher power exists,71.219,71.219,183.527,1,4,4,66.591,94.351,96.864,3,15,119.999,121.428,126.243,2,50,2,2,4,5,3,22,5,2,2,4,1,63,73,1,Protestant.,R_3EuB6FBvYrINqPX,0
71.112.166.251,380,8/24/26 11:08,R_6pQZvHBn6oJJDLV,40.3472,-80.1153,EN,6984da6cb846c1e93f39bb52,lion,0,0,32.362,0,0,0,8.086,0,5,10,85,3.506,23.87,27.849,15,We have a lot of info about how the universe was formed but not why it formed intentional or otherwise At the present time theres not enough information to conclude whether the universe forming was purposeful or not,1.094,106.201,107.258,11,1,5,4.867,10.627,11.668,3,32,7.268,12.888,13.668,4,15,1,4,4,5,2,0,1,2,2,4,1,29,60,13,Spiritual Deist,R_6pQZvHBn6oJJDLV,0
98.116.209.218,186,8/24/26 10:55,R_7BfjANkgrxa9r4X,40.6214,-73.9705,EN,6a17230d60e2a318a8073ab6,Lion,0.929,12.93,23.208,3,0,0,26.724,0,0,99,1,0.936,7.622,9.945,4,I think there is a higher power The higher power creates these laws of nature etc in the event Im wrong I allocated one token to that,4.516,4.516,53.054,1,4,3,1.229,7.697,7.98,7,86,1.504,4.091,4.642,5,48,4,4,5,5,3,20,3,3,4,4,1,32,52,1,Baptist Christian. ,R_7BfjANkgrxa9r4X,0
24.140.84.230,226,8/24/26 10:55,R_3CTxnzMGgPNifRq,40.8116,-81.4973,EN,5a2adf6a8e00a000019864fb,lion,0,0,20.937,0,0,0,6.839,0,0,0,100,2.992,2.992,23.31,1,I put all of the tokens in the unknowable I have never seen any kind of evidence that would lead me to think otherwise I dont theres any justification to put any tokens in the other two slots,1.333,1.333,39.364,1,3,1,3.312,14.4,15.821,4,35,7.255,11.967,14.531,3,70,2,4,3,5,2,0,1,5,5,5,1,43,85,11,Agnostic / Indifferent,R_3CTxnzMGgPNifRq,0
75.35.120.18,327,8/24/26 10:57,R_6Jw5yiAuWhN8YC1,39.8304,-89.6498,EN,66300ffbe8b4fb98a38b63fa,Lion,7.197,35.438,37.2,4,0,0,10.152,0,0,90,10,20.301,35.651,36.456,6,I do not believe in any higher power I believe the universe was created through the big bang I spent years questioning my beliefs and found they were completely illogical,5.781,106.879,107.201,11,1,5,3.566,10.165,10.7,5,41,13.695,13.695,15.172,1,29,2,5,3,5,2,0,1,5,5,5,1,47,97,10,I do not have a present religion. I am an atheist,R_6Jw5yiAuWhN8YC1,0
67.63.80.79,338,8/24/26 10:57,R_5Pcl0VEZQhtgpsm,40.3957,-120.6461,EN,5b9dd07de671c60001226b79,Lion,0,0,28.916,0,0,0,9.39,0,0,15,85,4.426,13.211,22.481,2,I dont think that directed guidance of the universe holds any merit personally but it is also unknowable I think its almost certainly unknowable with what we have at our disposal but I personally doubt the existence of a higher power Id say its much more likely that random chance controls everything but I still think unknowable is the best option,1.361,90.497,91.322,2,1,4,3.457,10.788,14.408,2,25,7.55,7.55,11.8,1,85,1,5,1,5,2,0,1,5,5,5,1,27,100,11,"I think the 'unknowable' option describes it pretty well. I don't believe in god, but maybe there's stuff out there that we don't know and can't see. It's kind of comforting to think there's an afterlife, but... I doubt it. Mostly I don't think much about religion. ",R_5Pcl0VEZQhtgpsm,0
104.203.136.64,376,8/24/26 10:58,R_7jVXOie0uTYeDW7,27.2939,-80.3503,EN,6a00bb2748f247daee0a437c,lion,1.287,1.287,28.143,1,0,0,8.843,0,0,100,0,1.574,44.944,50.534,2,The survey asked me to put the tokens in that category I read and followed the exact directions,5.245,32.644,47.296,2,3,2,6.858,33.831,36.796,7,85,8.5,13.428,17.785,4,70,2,5,5,5,1,1,5,3,3,2,1,57,45,2,how I live my life everyday and treat fellow humans is my religion.,R_7jVXOie0uTYeDW7,0
216.245.127.90,389,8/24/26 10:58,R_5EMFrzFOUYJ2ptT,34.0068,-90.0568,EN,5e84bd7c34d5d9072128fac1,lion,4.73,24.099,44.295,7,0,0,9.847,0,0,15,85,2.85,45.471,53.453,12,I acknowledged the request to put more into the undirected category but just went with my own beliefs Its an unknowable area but if I had to choose I dont believe there is a mastermind of any kind,0.998,105.035,107.339,16,1,2,5.436,33.461,44.017,7,30,9.985,20.428,28.818,3,26,2,4,3,5,1,0,1,5,2,5,1,39,82,11,Agnostic be lean atheist. ,R_5EMFrzFOUYJ2ptT,0
104.178.119.51,390,8/24/26 10:58,R_6CeSTSQyupkg6O1,37.7779,-97.3151,EN,63b5681c49af1cbe651420bc,lion,1.059,12.077,34.685,4,0,0,11.217,0,0,100,0,3.095,5.898,20.717,2,Im an atheist and I believe in science over religion and require concrete evidence and theories that have and can be tested using the scientific method The bible is not concrete evidence its a fictional literary work,1.516,157.03500000000003,178.43200000000002,5,1,5,4.632,11.31,14.678,4,45,6.5,6.5,10.252,1,15,3,3,4,5,1,0,1,5,5,5,1,58,98,10,I'm an atheist.,R_6CeSTSQyupkg6O1,0
73.229.15.37,420,8/24/26 10:59,R_3ffIH3yHbSrbsAQ,39.371,-104.859,EN,6a00f4fcc91fc576603c25eb,lion,0,0,41.296,0,0,0,14.779,0,0,51,49,21.781,49.718,57.363,8,I believe its somewhere between unknowable and undirected depending on the day Im not sure if the expectation was supposed to be an attention check so I put more tokens on that category than I otherwise would have,2.075,2.075,81.617,1,2,4,18.533,49.054,49.918,2,20,7.031,7.031,11.646,1,20,2,4,4,5,1,0,1,5,5,5,1,46,89,11,"Religion is not part of my life, but I don't mind the concept of it.",R_3ffIH3yHbSrbsAQ,0
47.26.114.82,411,8/24/26 10:59,R_50qqb8VvyXcxW84,42.0023,-83.3085,EN,6516e32ffccf8981620a78cb,Lion,0,0,38.352,0,0,0,10.761,0,0,45,55,18.229,44.46,47.083,4,We do not know exactly how the universe has come about There is some scientific data but most are just theories looking for scientific data to support it Nothing is certain how the universe has come about or the stability of it,4.128,22.8,160.968,3,3,5,6.839,14.231,15.024,2,14,16.754,16.754,19.654,1,12,2,3,3,5,1,0,1,4,5,4,1,54,50,2,Catholic,R_50qqb8VvyXcxW84,0
71.72.169.167,374,8/24/26 10:59,R_3KdR5TNZNWxHvt6,39.2487,-84.3457,EN,5edfbd316e98a72c5f5bdf16,lion,0,0,19.245,0,0,0,5.571,0,0,30,70,10.228,18.948,22.096,4,I mean its mostly in line with my general thoughts When it comes to religion Im apathetic I dont think it matters Just be a good person try to make the world a little bit better foster good relationships with others be a good community member etc If youre a fundamentally good person who stays curious and tries to grow and evolve constantly it shouldnt matter what specific god worship box you check and if it does thats too stupid for me to live my life by Im apathetic about religion mostly because the whole thing feels fundamentally unknowable to me We cant know until were dead and once were dead we cant tell anyone else so who cares But if I had to ascribe to intelligent design or randomness Im definitely taking randomness and so I wanted to give at least some tokens to that one But yeah by and large I guess Im an agnostic because I dont know and I dont think we really can ever know,1.687,1.687,180.37,1,3,4,3.885,13.839,16.04,2,50,6.819,6.819,7.786,1,50,2,3,3,5,3,0,1,3,5,5,1,32,100,11,Apathetic :),R_3KdR5TNZNWxHvt6,0
107.134.223.198,435,8/24/26 10:59,R_6wBm7fonulTn8ml,38.4549,-122.2564,EN,627d84320439f9b60d6dc991,lion,0,0,31.062,0,0,0,16.662,0,0,100,0,37.308,37.791,41.343,2,What we know and can prove is the laws of physics and take the events we observe as they happen,3.527,118.094,185.093,4,2,5,4.329,17.28,18.101,3,50,7.693,7.693,8.488,1,40,2,4,4,5,2,0,1,5,5,5,1,37,85,10,None,R_6wBm7fonulTn8ml,0
172.56.189.227,432,8/24/26 10:59,R_7law2q5mlcXkBIM,32.9247,-96.8917,EN,664652a8fffb5fe27fcd302e,Lion,20.198,62.382,64.53,6,11.855,11.855,16.3,1,0,100,0,9.264,26.218,31.58,4,The end of the paragraph stated you would hope more people would choose the final answer and also with information given an answer can not truely be given It would be more an opinion based on information given to choose the first two answers,5.218,5.218,66.582,1,3,5,5.44,33.613,36.743,11,80,15.789,15.789,16.933,1,75,2,4,3,5,3,1,4,2,4,4,1,34,32,1,I believe and pray for others but I don’t tend to go to church often ,R_7law2q5mlcXkBIM,0
172.117.173.243,709,8/24/26 11:03,R_53m9UPmHxv7eX5x,34.4318,-118.5003,EN,69fb8781c3cd45cbb6d3c630,lion,0,0,43.726,0,0,0,17.076,0,0,95,5,36.87,65.687,72.286,5,I selected the universe exists through undirected reasons because science has shown that the universe emerged from physical forces and natural processes without intention or predetermined purpose In my opinion there is no guiding consciousness or direction,6.619,216.186,228.01,14,2,4,6.999,19.095,24.119,3,3,20.123,20.123,22.23,1,25,2,4,4,5,3,0,1,4,4,4,1,40,50,8,Not religious,R_53m9UPmHxv7eX5x,0
68.96.215.195,207,8/24/26 10:55,R_5qVv8RssJgsiFqT,36.2819,-115.1475,EN,62c4dbae8fb1ff9cd93a3150,lion,13.901,23.172,25.701,2,0,0,12.481,0,0,50,50,20.213,22.081,23.083,2,I do not believe in the Big Bang Theory I believe that it was created by God Nothing was created without God,1.059,1.059,39.206,1,5,4,3.062,13.868,15.008,3,30,5.479,5.479,7.303,1,61,2,3,5,5,4,5,6,1,1,1,1,43,1,1,Christian,R_5qVv8RssJgsiFqT,1
104.181.213.79,210,8/24/26 10:55,R_37wHcWjjsRWuhek,43.0475,-87.8964,EN,69b4d2526cb22ee3d846b951,lion,0,0,21.31,0,0,0,4.695,0,20,20,60,32.143,51.063,55.797,8,i just felt like i believe in aspects of both but also dont know which is more true so went with the answer that reflects that,2.24,26.041,29.145,3,4,4,5.291,11.126,12.145,2,87,6.047,6.934,7.683,2,50,2,3,4,5,3,0,1,3,5,5,1,31,100,11,spiritual,R_37wHcWjjsRWuhek,1
68.43.249.183,204,8/24/26 10:55,R_1GT7DDevo59yx9p,42.2314,-83.6344,EN,6a184c49c1dd6cdc1113e76d,Lion,0,0,10.441,0,0,0,8.494,0,0,80,20,20.816,29.391,29.992,3,We have more evidence to support that the big bang is the reason behind the existence of our universe But even then we cannot be 100 percent sure of how everything in our universe came to be,1.938,56.837,57.208,4,4,4,2.587,7.441,8.713,2,40,4.848,4.848,5.35,1,30,3,3,4,5,4,0,1,5,5,5,1,26,100,10,Athiest,R_1GT7DDevo59yx9p,1
204.186.36.155,220,8/24/26 10:55,R_7JF2huyIcrZHAzy,40.6548,-76.1008,EN,697cac7d3bedace54477eb48,lion,0,0,24.868,0,0,0,9.125,0,0,85,15,2.662,13.402,14.036,3,There is no divine intervention from an all powerful all knowing being that created the universe The idea that the universe is as large and as old as it is lead credence to the idea of a singular origin,2.498,2.498,53.202,1,2,5,6.751,13.443,14.285,2,65,6.951,6.951,7.598,1,5,3,2,1,5,2,0,1,5,5,5,1,38,99,10,athiest,R_7JF2huyIcrZHAzy,1
76.239.33.178,221,8/24/26 10:55,R_531HDxr9idbooK5,32.8707,-79.8029,EN,6a0858e13756f2b9a0b3ef84,lion,21.084,21.084,22.871,1,0,0,6.311,0,40,20,40,15.441,22.029,26.57,3,The question said to give undirected fewer tokens so I gave it fewer,1.83,1.83,16.481,1,2,2,6.103,15.579,16.338,2,70,7.788,7.788,9.353,1,36,2,1,4,5,2,0,4,1,5,5,1,33,100,13,not religious but believe in a power greater than myself,R_531HDxr9idbooK5,1
204.144.230.162,216,8/24/26 10:55,R_5R3nJdpKV8seU26,42.0401,-91.604,EN,66d9d8108156d32cbe34ee6f,lion,0,0,20.153,0,0,0,3.394,0,90,0,10,19.153,26.783,32.171,3,I have a complete faith that a higher power exists and has created us and all things for a specific purpose and reason of being My logic is in fact my belief in God,0.801,0.801,52.884,1,4,3,5.895,17.189,19.234,4,85,6.206,10.568,11.075,4,85,2,2,4,5,1,22,3,2,1,1,1,59,4,1,Lutheran ELCA,R_5R3nJdpKV8seU26,1
