IPAddress,Duration (in seconds),RecordedDate,ResponseId,LocationLatitude,LocationLongitude,PID,treatment,read timer_First Click,read timer_Last Click,read timer_Page Submit,read timer_Click Count,exp timer_First Click,exp timer_Last Click,exp timer_Page Submit,exp timer_Click Count,allocate1,allocate2,allocate3,timer token First Click,timer token Last Click,timer token Page Submit,timer token Click Count,why,timer why First Click,timerwhyLast Click,timerwhyPage Submit,timer whyClick Count,mancheck1,norms,norms timer_First Click,norms timer_Last Click,norms timer_Page Submit,norms timer_Click Count,EE1,belief timer First Click,belief timer Last Click,belief timer Page Submit,belief timer Click Count,RiskBattery_1,IE-4 LOC_1,IE-4 LOC_2,IE-4 LOC_3,IE-4 LOC_5,DUREL 1_1,DUREL 2,durel 3_1,durel 3_2,durel 3_3,heart,Age,politics,religaffil,otherreligion,arm,Total approvals,Age2,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
174.182.11.192,245,8/24/26 11:00,R_3HhS5UdKkiTvcel,39.9086,-86.121,6111d85ca4a6e76e5140d8da,c,19.757,19.757,20.102,1,0,0,0.98,0,10,20,70,6.008,28.72,29.005,7,I believe that there is no one way the world was created I am a true believer that whatever you believe is true for YOU If you are a Christian you will go to heaven Wherever you desire you will go 3,1.431,1.431,53.758,1,4,4,3.4,10.048,10.558,2,46,15.628,15.628,16.275,1,59,2,3,3,3,0,1,3,5,5,1,23,89,13,I am spiritual I grew up Christian I still believe in God but I dont believe in the bible I have my own personal relationship with God not one that requires me to go to church every Sunday and hates everyone I love,1,2970,23,Female,White,United States,United States,United States,English,No,Full-Time
73.124.230.126,652,8/24/26 11:09,R_1TLiOLTlgSFxdLs,27.2913,-80.2977,611b8f8d34b5aed647a248e3,c,0,0,71.098,0,0,0,1.874,0,70,20,10,21.997,21.997,27.939,1,i did not use science to make my decision I used my Christian beliefs and i know god created the universe for his purpose so god is the designer and creator of the universe in my opinion,5.912,48.677,127.725,5,5,5,7.959,19.824,21.104,2,5,12.346,12.346,13.605,1,9,2,1,4,3,0,5,4,5,5,1,52,40,5,Christian,1,11608,52,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
135.134.205.182,248,8/24/26 11:00,R_71hUUHMYtWvUI4X,43.07,-89.5106,612e6569f68929afb886fb5c,c,0,0,43.743,0,0,0,1.033,0,0,90,10,10.031,12.654,17,2,I am fairly convinced that the universe wasnt created by an intelligent creator and came about randomly since that is the simplest explanation and there is no real evidence for an intelligent creator However since we cannot have complete knowledge of everything in the universe it is technically possible though unlikely that we dont have the knowledge to decide either way so I gave a few tokens to that position as well,1.494,1.494,94.059,1,1,5,3.757,9.48,11.155,2,65,10.09,10.09,11.001,1,10,2,2,3,3,0,1,5,5,5,1,26,90,10,Athiest,1,5647,26,Female,White,United States,United States,United States,English,No,Full-Time
71.145.255.12,421,8/24/26 11:07,R_5HheCeqF8yYKWpr,37.6257,-97.3142,6143af8721d1445864c4f6c8,c,0,0,118.471,0,0,0,1.611,0,80,10,10,20.601,20.601,30.843,1,There is to much complexity in life and the Universe to think that it all happened with a random bang is just crazy out of your mind There is a maker of all things Or makers plural I just dont know what or who it is,3.62,3.62,93.424,1,3,2,5.285,14.379,15.594,2,40,14.024,14.024,17.538,1,50,1,3,3,2,0,6,2,5,5,1,54,50,5,I am Christian but I dont go to any church God is not in the wood or the seats there,1,18172,54,Male,White,United States,United States,United States,English,DATA_EXPIRED,Unemployed (and job seeking)
143.55.59.224,210,8/24/26 11:01,R_1amgR67Z6dVqQ2H,33.0787,-97.5653,617323e630f3fa36361cb35b,c,0,0,18.603,0,0,0,1.168,0,78,12,10,3.616,3.616,6.95,1,It is obvious when you look at everything that a higher power must be in control Things are too similar to be random Also the big bang could not have happened without a higher power Where did the two atoms that collide come from and what where they on to collide That cant be answered without God,1.247,1.247,70.8,1,3,1,5.335,10.975,12.297,2,74,7.861,7.861,8.767,1,30,2,2,3,4,0,6,2,1,1,1,56,35,1,Christian baptist,1,14434,56,Female,White,United States,United States,United States,English,No,Full-Time
98.21.211.86,1141,8/24/26 11:19,R_1i4Os6kD8lSPj2N,34.879,-83.992,61bb392e40db417c1a138dcb,c,0,0,449.047,0,0,0,1.929,0,85,5,10,23.054,35.819,38.701,3,I put most of my tokens toward directed origin because I believe the universe has a purposeful creator or higher power I felt some tokens for the other choices because I understand there are things about the universe we cant fully know or explain,5.6,25.038,246.26,2,4,3,4.23,10.815,12.297,4,50,11.762,11.762,13.237,1,3,3,5,3,4,5,4,1,2,2,1,52,50,1,protestant,1,14836,52,Female,White,United States,United States,United States,English,No,Full-Time
99.157.245.207,533,8/24/26 11:11,R_3Rj6TaUh6X1dWTv,38.5848,-90.2996,6234e1b277e7fe207a9ad500,c,0,0,48.376,0,0,0,2.368,0,100,0,0,8.248,10.067,15.756,2,The responses to the question on the previous page are based on my spiritual beliefs and experiences after many years of research spiritual practice and experience on my own spiritual path,3.168,231.073,235.947,15,3,2,14.668,29.636,31.53,2,70,10.377,10.377,11.437,1,20,2,4,3,3,0,5,2,2,3,1,56,50,5,Christian,1,5281,56,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
216.147.69.237,307,8/24/26 11:02,R_3jCcwFB57pfvjRr,33.0162,-83.5413,6294caceabe2535ecd0eaba7,c,5.289,37.403,38.966,5,0,0,2.165,0,25,25,50,4.267,11.154,15.816,4,People might think they know but I dont think it can be definitively proven one way or the other how that really came about None of us was there We might have opinions but I doubt any of us could prove it so I responded in that manner,2.273,2.273,54.987,1,5,5,7.377,23.049,24.343,5,60,11.458,11.458,16.28,1,49,5,2,5,4,0,2,2,2,2,1,47,70,1,Baptist but I dont attend services regularly,1,4134,47,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
174.237.88.246,252,8/24/26 11:00,R_6wAeO3ow5UKcoka,30.2107,-97.9427,64013d507ab5a4cdc0c1a29a,c,0,0,24.268,0,0,0,1.634,0,25,25,50,7.373,14.725,17.666,4,I allocated my tokens based on my opinion of the matter I think things happen just randomly and there is so many factors based on what happens such as climate change and other things,5.629,5.629,71.305,1,3,4,4.971,11.683,12.664,2,40,8.605,8.605,9.673,1,10,1,5,5,2,10,2,2,2,2,1,42,30,1,I am a Baptist Christian,1,1970,42,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
174.57.59.154,581,8/24/26 11:09,R_61qOmD317gdxBVT,40.4795,-74.4906,640e4ddaf9f67c6c8ea4936b,c,5.707,47.228,48.871,4,0,0,3.225,0,90,5,5,7.516,29.466,30.284,3,I believe 100 percent in God and that he created the universe It explains a lot of questions I had about why and how we exist I believe he watches over his creation everyday,2.083,112.719,149.553,4,5,2,7.136,21.216,22.284,5,48,13.755,32.775,34.241,3,19,2,4,3,3,4,5,1,1,2,1,69,50,5,Born again Christian follower of the teachings of Jesus,1,6662,69,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
73.21.199.25,209,8/24/26 11:05,R_7PXAGrTGLiWhAOx,28.5504,-81.1833,6441356d5337fd4714939734,c,5.979,5.979,6.668,1,0,0,1.557,0,0,100,0,14.58,14.58,17.141,1,The logic is simply based upon the idea of deities or gods are constructs by human beings Theres no evidence of any such entities and the evolution of the universe is simply incomprehensible in terms of time for human beings,3.112,3.112,97.801,1,1,5,4.354,9.571,10.601,2,61,5.475,5.475,6.373,1,10,1,5,3,1,0,1,5,5,5,1,48,89,10,Atheist but grew up Jewish,1,5914,48,Male,White,United States,United States,United States,English,No,Full-Time
32.212.240.230,360,8/24/26 11:04,R_68YPP8LdB8eB5U7,41.8759,-72.7989,64947980de05e8ce37b3bc98,c,6.484,26.241,81.236,2,0,0,2.137,0,15,20,65,4.807,19.539,23.136,3,We look for scientific proof but it still seems elusive We just dont know Spirituality was designed around the earth The earth is a small particle of sand in the world to the universe We dont know,11.302,11.302,101.539,1,3,4,3.539,11.077,12.119,3,55,5.15,5.15,5.946,1,10,2,4,3,3,0,2,3,2,3,1,55,54,6,agnostic jewish,1,8499,55,Male,White,United States,United States,United States,English,No,Part-Time
47.231.12.219,285,8/24/26 11:02,R_3ItASi32OlQfoiZ,35.0221,-80.5318,650b03136ab3d4c832d98b71,c,2.648,10.235,11.43,2,1.808,1.808,2.295,1,10,80,10,0.689,17.735,24.851,5,I dont believe in any gods or supernatural forces Science explains how the universe works through natural laws not through divine design I am completely certain about this so I put all my tokens on undirected origin,3.132,32.441,32.441,7,1,5,1.172,10.442,14.787,5,15,0.857,8.917,12.916,3,55,2,3,4,1,0,1,5,5,5,1,32,90,10,Atheist,1,24625,32,Male,White,Israel,United States,United States,Hebrew,No,Part-Time
75.162.137.67,298,8/24/26 11:03,R_7GfHwXRpW6fgiDT,41.6244,-93.6694,6516f058454fb02e71ca120a,c,12.564,29.048,29.886,5,0,0,1.465,0,80,10,10,6.089,6.089,10.912,1,I am a Christian I know that we are only here because God allows us to be I have faith in Him even though I cannot see him I know He is here I do not need to be told otherwise,2.864,2.864,84.563,1,5,1,5.857,12.148,12.992,3,80,9.729,9.729,10.878,1,38,1,3,3,3,7,4,2,2,1,1,51,10,1,Lutheran,1,3682,51,Male,White,United States,United States,United States,English,No,Full-Time
99.138.68.172,528,8/24/26 11:04,R_117WhVN5MvpYdxt,34.1416,-80.8886,652be55d3d99a68b56fe7d56,c,0,0,69.202,0,0,0,3.947,0,0,95,5,72.416,86.445,88.52,4,I believe that most things in the universe can be explained by science but there are some unknowns that havent been discovered yet This is why I rated the undirected origin the highest,2.234,53.7,68.29,3,3,4,38.644,49.928,50.866,3,30,47.719,47.719,49.018,1,14,1,4,5,1,0,1,5,5,5,1,43,50,10,None,1,4222,43,Female,Black,United States,United States,United States,English,No,Full-Time
172.56.235.16,498,8/24/26 11:05,R_5WlwrsmQYfx0CbL,34.0251,-118.1556,653aaf1d0c22cecb4c301628,c,0,0,2.486,0,0,0,1.801,0,25,35,40,8.396,27.958,30.365,6,I split the 100 tokens based on what I thought was most important I gave more to the options I liked more and less to the ones I thought were not as important,7.143,100.598,103.462,2,4,3,4.051,8.55,9.457,2,36,49,49,50.362,1,66,2,3,5,3,0,2,3,3,3,1,24,51,2,Catholic,1,1448,24,Male,White,United States,United States,United States,English,Yes,Part-Time
98.230.64.161,748,8/24/26 11:10,R_6ztW6R7QzSp5Arv,30.6483,-88.2297,65c11f6098be0f40918869d2,c,3.262,49.499,57.52,7,0,0,0.964,0,60,20,20,6.872,13.285,21.157,3,I believe in a higher being God who is the guiding force behind everything we do and everything that happens Its not the result of a coincidence or any other factor,3.318,62.84,68.748,2,1,1,2.017,30.783,32.727,11,64,8.77,8.77,9.703,1,25,3,4,4,3,1,1,5,4,4,1,46,13,2,I believe in God,1,5542,46,Female,Black,United States,United States,United States,English,No,Full-Time
73.232.80.142,231,8/24/26 11:00,R_3Nw93GBy5yzJ1wQ,29.5183,-95.0977,65c7878613b84bfc354131c7,c,1.487,25.535,26.306,14,0,0,3.298,0,70,15,15,1.245,16.455,19.221,8,Most of my answer was personal belief However it truly is unknowable so I did allocate some to that as well as to it being no directed,2.082,2.082,40.889,1,3,3,5.629,20.24,21.003,5,57,2.535,4.336,6.95,2,27,3,3,4,3,0,5,2,1,2,1,47,39,1,Nondenominational Christian,1,4988,47,Female,White,United States,United States,United States,English,No,Part-Time
72.15.65.134,278,8/24/26 11:03,R_1JLtCrnXAxfX2Wl,42.4072,-83.4965,660db7a0e45001b3e976309e,c,4.13,4.13,7.07,1,0,0,1.194,0,90,0,10,24.7,29.841,32.846,2,I gave most of my tokens to a directed origin because the universe seems too neat and organized just to be random Something powerful must have created everything but I did throw a few of my tokens into the unknowable bucket since we cannot prove it for certain,24.061,24.061,79.753,1,4,4,2.943,17.601,19.202,5,45,18.33,18.33,19.768,1,4,2,1,4,3,4,5,2,2,2,1,43,50,2,Catholic,1,5061,43,Male,White,United States,United States,United States,English,No,Full-Time
172.56.16.139,208,8/24/26 11:00,R_5GEAkCjyNHQwZhH,41.945,-87.7996,660dfb0b513cd3c8af03656e,c,0,0,31.543,0,0,0,1.342,0,40,30,30,6.946,22.957,24.754,4,I feel that all of those choices are true in some way I think we have control over a lot so I gave that a little higher amount of tokens than the two other options,2.476,2.476,35.484,1,3,2,3.463,12.317,13.086,2,60,11.956,11.956,12.654,1,24,3,2,4,3,0,1,5,4,4,1,44,40,2,Catholic,1,9853,44,Female,White,United States,United States,United States,English,No,Full-Time
68.37.190.71,483,8/24/26 11:05,R_11dmNAFEABdPQTD,42.9656,-85.65,663a84c4e8e95c9cb723687f,c,1.502,28.302,41.27,10,0,0,1.491,0,1,70,29,2.422,66.549,74.457,11,I quite firmly believe the universe is random Theres simply no evidence of a higher power whatsoever I cant say for certain because its all really unknown But I feel pretty confident,1.835,123.951,159.887,7,2,3,5.65,14.409,20.187,5,20,20.274,52.527,52.547,5,65,2,5,4,3,0,1,5,5,5,1,27,90,10,Atheist I dont believe in any higher power,1,583,27,Female,Mixed,United States,United States,United States,English,No,Unemployed (and job seeking)
70.188.221.24,613,8/24/26 11:22,R_7YS0AZs0mAv3CFV,33.4758,-112.1932,664003b962a847c71db3ebb0,c,52.103,168.059,177.031,2,0,0,2.039,0,80,10,10,18.737,18.737,22.474,1,God is the creator of the world and the universe and everything that exists in it We are a direct evidence of this creation Gods ways are beyond ours and having a deeper understanding of this makes life easier to live in,5.58,104.019,107.891,6,5,1,14.107,63.227,64.208,7,50,13.551,13.551,15.47,1,80,1,5,3,1,31,6,1,1,1,1,40,50,5,Protestant,1,7142,40,Female,Black,Nigeria,United States,Nigeria,English,No,Full-Time
70.190.251.157,327,8/24/26 11:08,R_3ONNCv91VUUj4QC,32.213,-110.8279,664124a221f88b6a260a3df3,c,3.075,29.169,55.4,3,0,0,1.981,0,0,100,0,1.924,18.424,19.357,3,To me it is the only answer No God or higher power but just math and biology mixed with evolution Still amazing but not by design,4.3,4.3,72.332,1,3,3,5.544,24.375,25.206,4,34,9.303,12.23,13.287,2,41,3,1,2,1,0,1,1,1,1,1,50,70,11,Science,1,1864,50,Male,White,United States,United States,United States,English,DATA_EXPIRED,Part-Time
209.255.144.81,481,8/24/26 11:07,R_7HUmV9al3GhpRPH,30.2393,-95.5409,664a145511338d9b7165824c,c,0,0,246.795,0,0,0,2.7,0,90,10,0,17.442,21.685,25.097,2,There is proven fact that there is a higher being in the Universe,3.808,3.808,35.465,1,3,3,8.962,21.933,23.216,2,61,9.453,13.866,14.902,3,41,2,2,5,4,10,4,2,2,2,1,58,50,2,Catholic,1,557,58,Female,White,United States,United States,United States,Spanish,Yes,DATA_EXPIRED
155.186.138.192,627,8/24/26 11:12,R_3GBLvfvd7gUVegY,34.0515,-84.0713,66632c96e56c2cc87923bf78,c,38.995,38.995,40.487,1,0,0,2.274,0,60,25,15,6.476,42.673,43.807,8,I believe that there ia a higher power God if you will who is responsible for the earth solar system and all living things,3.666,3.666,46.467,1,2,2,70.732,86.425,87.389,8,80,6.527,12.116,13.344,5,70,2,5,4,4,2,5,1,1,1,1,61,90,2,Roman Catholic,1,7723,61,Female,Black,United States,United States,United States,English,No,Full-Time
75.176.12.8,618,8/24/26 11:13,R_6OuwSQwfZhB8IxE,35.2842,-80.8719,66763048455cd71b92b42d38,c,0,0,50.534,0,0,0,2.453,0,25,50,25,29.005,72.884,82.266,3,It makes more sense than the other options based on science and beliefs,4.471,4.471,44.352,1,4,4,14.871,38.798,39.759,2,90,19.2,19.2,20.244,1,60,2,3,4,3,4,1,4,4,4,1,65,56,1,Christian Growing up my family and I would go to services a fews times a year,1,5900,65,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
71.217.186.84,542,8/24/26 11:10,R_7QRkRDDuZ0CaMCW,35.2399,-79.5675,66b5682e53ca081f5a2d5d23,c,0,0,64.333,0,0,0,2.086,0,30,40,30,18.468,53.95,57.047,6,I do believe theres a God a higher being that created us the Earth and possibly the universe However I also believe even more so that a lot of things happen because of how science and the world works There are of course a lot of unknowns as well but I think the first two things exist together to shape our being world universe,7.653,148.489,200.099,6,3,4,7.696,17.508,18.786,2,72,7.973,11.993,13,2,21,2,5,5,2,1,3,3,4,4,1,56,67,1,non denominational Christian,1,3001,56,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
159.118.106.100,497,8/24/26 11:08,R_1c0ikq2ooP5wWWL,30.3557,-89.1655,66d1fdd400acfdbc181f41e0,c,0,0,71.257,0,0,0,2.075,0,80,5,15,9.629,18.889,30.006,3,I must concede that there is a small chance that we will never know or that it is all random As an example if you believe in the big bang theory where all things came into being from a singular point then that would be the beginning i e a creation If it were a beginning or creation then factually they must be a creator I am not talking about religion or any other unquantifiable thing but rather logic,1.622,1.622,124.584,1,3,2,8.21,34.354,35.367,3,65,32.049,32.049,34.397,1,40,2,4,4,2,0,2,4,3,4,1,52,52,2,roman catholic by birth but truly I do not subscribe to any one teaching in chritianity,1,11251,52,Male,White,Canada,United States,Canada,English,No,Full-Time
97.106.180.86,600,8/24/26 11:10,R_3eVYO31qFgmPV7G,27.9822,-81.6706,66e1f21a9cc4c3760fd23ce6,c,4.758,4.758,6.213,1,2.008,2.008,4.62,1,76,20,4,7.712,33.505,34.613,4,My reliogn is with God and that we can not live without him That we cannot live in a world without him,2.387,235.966,257.339,6,4,4,35.308,38.972,40.15,3,27,4.983,4.983,6.421,1,41,5,5,4,3,28,6,5,5,4,1,29,33,2,catholic,1,4572,29,Female,White,United States,United States,United States,English,No,Part-Time
166.199.172.32,306,8/24/26 11:09,R_6JyGxnpuooTcmsJ,41.8986,-87.738,6716f188b131fa30ab5365c2,c,32.009,48.143,59.057,3,0,0,1.847,0,70,10,20,1.605,19.506,26.9,3,I believe that there is a higher power in the universe that watches over everything and helps us everyday This is why I gave almost all of my coins to this allocation,5.162,5.162,66.227,1,4,2,2.335,12.894,14.025,4,80,6.042,9.173,9.695,3,20,1,2,5,2,4,4,1,2,2,1,38,10,2,Catholic,1,8847,38,Male,White,United States,United States,United States,English,No,Full-Time
98.204.175.151,724,8/24/26 11:11,R_7mxeloQmIX0dOOo,38.8846,-75.8272,671fa640613553ae54b0b526,c,19.962,82.264,112.481,8,0,0,2.323,0,90,0,10,9.636,30.173,65.095,2,I allocated all of the tokens to the first option because I believe the universe is intelligent and there is a higher power involved in the creating and destroying of nature,70.785,213.814,220.428,5,4,2,11.413,21.465,23.13,3,50,9.244,9.244,11.275,1,50,3,5,3,3,0,4,2,5,5,1,49,50,13,Spiritual not religious,1,2504,49,Female,White,United States,United States,United States,English,No,Other
73.38.251.220,345,8/24/26 11:04,R_3NP6NGmMB1qk4fM,41.674,-73.0075,673cd43cfac31b5664ed1042,c,0,0,31.252,0,0,0,2.237,0,60,20,20,7.528,11.704,15.832,2,I believe in a higher power I personally believe each and every religion is just another way of looking at the same source However I think our human brains are incapable of grasping the full nature of reality and we must remain humble and ultimately admit it is unknowable,3.101,116.55,121.028,5,3,3,4.537,17.217,24.135,2,50,10.804,10.804,12.257,1,20,2,3,4,3,0,5,1,2,2,1,50,90,13,I am closest to being Unitarian,1,5938,50,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
172.56.29.212,527,8/24/26 11:16,R_6eElxIJ7O0OOkFQ,39.9668,-75.1512,674f81d8a83632cf7c484d74,c,9.264,15.887,107.893,2,0,0,2.202,0,15,15,70,7.254,16.502,19.345,3,I very much believe the answer to the question is unknowable so I distributed most of the tokens to that option I think the least possible answer is that there is a higher power but a slight higher chance that the answer relies on physical law,4.388,4.604,136.001,2,3,5,16.286,27.804,28.747,3,20,10.477,10.477,11.501,1,50,2,3,4,3,0,1,5,5,5,1,48,83,11,Agnostic,1,4187,48,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
207.38.164.221,269,8/24/26 11:04,R_7y2XTJ4wRvdzVAR,40.7706,-73.9283,675660c1ce75fb95cfe069c2,c,0.823,1.588,2.102,3,0,0,1.281,0,35,35,30,4.636,73.983,76.337,15,No one really knows the answer I feel that yes its mostly science but theres much that isnt explainable,1.935,39.179,40.2,2,4,3,2.731,18.305,21.248,13,50,7.95,7.95,8.671,1,20,2,3,2,3,0,1,3,5,5,1,47,74,11,I dont believe in organized religion,1,2723,47,Female,White,United States,United States,United States,English,No,Part-Time
